NCBI_GID	ENSEMBL_GID	Assigned_Gene_symbol	Gene_symbol	Product
100135779	ENSSSAG00000073651	fshr	fshr	follicle stimulating hormone receptor
100136349	ENSSSAG00000071756	dj-1	dj-1	dj-1 protein
100136351	ENSSSAG00000015667	raf1b	raf1b	Raf-1 proto-oncogene, serine/threonine kinase b
100136352	ENSSSAG00000116649	LOC100136352	LOC100136352	beta actin
100136353	ENSSSAG00000055811	LOC100136353	LOC100136353	nucleoside diphosphate kinase
100136354	ENSSSAG00000005415	LOC100136354	LOC100136354	ribosomal protein L18a
100136355	ENSSSAG00000050784	tshba	tshba	thyroid stimulating hormone subunit beta a
100136356	ENSSSAG00000107229	fkh	fkh	fork head domain protein
100136357	ENSSSAG00000055126	LOC100136357	LOC100136357	fast myotomal muscle troponin-T
100136358	ENSSSAG00000072987	nos2b	nos2b	nitric oxide synthase 2b, inducible
100136359	ENSSSAG00000073308	rig	rig	ribosomal protein S15
100136360	ENSSSAG00000040057	hsp90ab1	hsp90ab1	heat shock protein 90, alpha (cytosolic), class B member 1
100136362	ENSSSAG00000065711	fshb	fshb	follicle stimulating hormone subunit beta
100136364	ENSSSAG00000051689	LOC100136364	LOC100136364	cystic fibrosis transmembrane conductance regulator I
100136365	ENSSSAG00000076584	lyz	lyz	lysozyme
100136366	ENSSSAG00000068465	LOC100136366	LOC100136366	cystic fibrosis transmembrane conductance regulator II
100136367	ENSSSAG00000041842	psmb8b	psmb8b	proteasome subunit beta type 7b
100136369	ENSSSAG00000006623	LOC100136369	LOC100136369	rod-like opsin
100136370	ENSSSAG00000078406	rho	rho	rhodopsin
100136371	ENSSSAG00000067669	LOC100136371	LOC100136371	vitamin D3 receptor B
100136372	ENSSSAG00000054685	raraa	raraa	retinoic acid receptor, alpha a
100136373	ENSSSAG00000064317	rs11	rs11	40S ribosomal protein S11
100136375	ENSSSAG00000053065	hck	hck	hemopoietic cell kinase
100136378	ENSSSAG00000005012	LOC100136378	LOC100136378	nuclear receptor subfamily 1 group D member 2
100136379	ENSSSAG00000044132	LOC100136379	LOC100136379	thyrotropin receptor
100136380	ENSSSAG00000079939	cd9	cd9	CD9 molecule
100136382	ENSSSAG00000067322	LOC100136382	LOC100136382	thyrotropin receptor
100136383	ENSSSAG00000072218	fadsd5	fadsd5	delta-5 fatty acyl desaturase
