NCBI_TID	Microarray_PID
NM_001123527.1	C090R020
NM_001123542.2	C066R040
NM_001123558.1	C029R132
NM_001123558.1	C025R082
NM_001123572.1	C091R104
NM_001123572.1	C069R106
NM_001123572.1	C011R079
NM_001123572.1	C227R072
NM_001123581.1	C087R135
NM_001123582.1	C230R100
NM_001123584.1	C134R047
NM_001123589.1	C168R139
NM_001123605.1	C048R014
NM_001123605.1	C027R139
NM_001123605.1	C027R082
NM_001123605.1	C106R161
NM_001123617.1	C237R068
NM_001123619.1	C060R046
NM_001123630.1	C176R040
NM_001123630.1	C174R086
NM_001123632.1	C021R132
NM_001123633.1	C065R119
NM_001123655.1	C100R117
NM_001123655.1	C075R050
NM_001123655.1	C085R044
NM_001123673.1	C096R025
NM_001123673.1	C100R014
NM_001123675.1	C041R022
NM_001123677.1	C015R047
NM_001123690.1	C030R081
NM_001136548.1	C266R130
NM_001136548.1	C258R037
NM_001139595.1	C004R153
NM_001139595.1	C011R098
NM_001139595.1	C253R048
NM_001139595.1	C139R078
NM_001139601.1	C036R114
NM_001139610.1	C154R116
NM_001139622.1	C146R109
NM_001139626.1	C258R147
NM_001139626.1	C060R052
NM_001139664.1	C098R089
NM_001139675.1	C063R112
NM_001139678.1	C141R022
NM_001139716.1	C037R041
NM_001139742.1	C233R116
NM_001139742.1	C263R053
NM_001139744.1	C177R139
NM_001139755.1	C244R157
NM_001139772.1	C133R059
NM_001139774.1	C172R133
NM_001139774.1	C009R062
NM_001139800.1	C159R025
NM_001139813.1	C058R120
NM_001139839.1	C252R087
NM_001139855.1	C237R134
NM_001139859.1	C125R166
NM_001139859.1	C019R162
NM_001139859.1	C018R107
NM_001139859.1	C121R040
NM_001139867.1	C154R077
NM_001139877.1	C100R027
NM_001139885.1	C159R103
NM_001139901.1	C146R066
NM_001139910.1	C129R080
NM_001139917.1	C266R051
NM_001139917.1	C128R054
NM_001139918.1	C236R043
NM_001139921.1	C179R109
NM_001139927.1	C005R144
NM_001139937.1	C196R043
NM_001139940.1	C195R070
NM_001139952.1	C198R155
NM_001139958.1	C129R050
NM_001139964.1	C078R114
NM_001139990.1	C256R131
NM_001139992.1	C179R027
NM_001140002.1	C080R049
NM_001140003.1	C047R105
NM_001140003.1	C226R063
NM_001140003.1	C119R043
NM_001140003.1	C213R017
NM_001140007.1	C239R108
NM_001140020.1	C046R080
NM_001140026.1	C010R026
NM_001140043.1	C005R132
NM_001140049.1	C167R079
NM_001140049.1	C091R066
NM_001140056.1	C054R016
NM_001140069.1	C095R022
NM_001140075.1	C020R042
NM_001140079.1	C098R132
NM_001140087.1	C115R097
NM_001140087.1	C096R059
NM_001140093.1	C103R033
NM_001140094.1	C084R081
NM_001140097.1	C160R132
NM_001140103.1	C222R165
NM_001140103.1	C002R059
NM_001140120.1	C253R114
NM_001140138.1	C141R064
NM_001140148.1	C195R110
NM_001140148.1	C118R109
NM_001140150.1	C144R122
NM_001140157.1	C025R058
NM_001140157.1	C040R108
NM_001140179.1	C194R076
NM_001140181.1	C190R120
NM_001140187.1	C181R050
NM_001140194.1	C001R065
NM_001140194.1	C232R072
NM_001140222.1	C095R096
NM_001140222.1	C112R134
NM_001140222.1	C158R035
NM_001140222.1	C167R062
NM_001140222.1	C195R049
NM_001140222.1	C112R058
NM_001140222.1	C079R093
NM_001140224.1	C252R023
NM_001140242.1	C220R170
NM_001140244.1	C006R147
NM_001140250.1	C089R160
NM_001140251.1	C092R119
NM_001140260.1	C126R049
NM_001140261.1	C026R062
NM_001140273.1	C068R099
NM_001140280.1	C153R034
NM_001140284.1	C262R095
NM_001140297.1	C168R153
NM_001140297.1	C189R053
NM_001140306.1	C095R124
NM_001140313.1	C006R091
NM_001140316.1	C196R097
NM_001140319.1	C207R154
NM_001140336.1	C214R107
NM_001140363.1	C147R049
NM_001140367.1	C169R036
NM_001140370.1	C167R166
NM_001140373.1	C051R093
NM_001140373.1	C246R082
NM_001140391.1	C252R119
NM_001140391.1	C080R081
NM_001140391.1	C127R044
NM_001140391.1	C076R064
NM_001140416.1	C205R046
NM_001140421.1	C113R122
NM_001140423.1	C027R008
NM_001140429.1	C163R168
NM_001140431.1	C186R115
NM_001140447.1	C058R074
NM_001140447.1	C040R031
NM_001140447.1	C082R073
NM_001140462.1	C073R048
NM_001140471.1	C227R036
NM_001140477.1	C160R113
NM_001140482.1	C151R118
NM_001140491.1	C160R062
NM_001140498.1	C209R094
NM_001140508.1	C136R105
NM_001140511.1	C115R123
NM_001140511.1	C028R131
NM_001140514.1	C105R121
NM_001140516.1	C188R015
NM_001140517.1	C114R027
NM_001140524.1	C224R138
NM_001140535.1	C180R145
NM_001140548.1	C175R091
NM_001140556.1	C120R114
NM_001140557.1	C104R041
NM_001140557.1	C093R057
NM_001140560.1	C069R089
NM_001140578.2	C202R150
NM_001140590.1	C147R144
NM_001140611.1	C050R143
NM_001140643.2	C026R085
NM_001140651.1	C060R169
NM_001140657.2	C232R089
NM_001140661.1	C083R094
NM_001140698.1	C218R025
NM_001140701.1	C134R156
NM_001140701.1	C046R121
NM_001140720.1	C225R074
NM_001140720.1	C062R154
NM_001140722.1	C255R143
NM_001140732.1	C123R019
NM_001140753.1	C107R054
NM_001140792.1	C028R093
NM_001140821.1	C165R026
NM_001140830.2	C120R155
NM_001140833.1	C113R092
NM_001140842.1	C063R138
NM_001140842.1	C144R115
NM_001140845.2	C063R094
NM_001140849.1	C198R010
NM_001140849.1	C201R032
NM_001140857.1	C017R009
NM_001140862.1	C101R050
NM_001140870.2	C195R159
NM_001140892.2	C149R100
NM_001140892.2	C172R162
NM_001140892.2	C035R133
NM_001140906.2	C006R124
NM_001140908.1	C260R151
NM_001140939.1	C139R032
NM_001140960.1	C004R156
NM_001140968.1	C041R169
NM_001140968.1	C088R110
NM_001140968.1	C164R102
NM_001140972.1	C005R090
NM_001140972.1	C058R125
NM_001140972.1	C009R115
NM_001140976.1	C134R112
NM_001140986.1	C134R154
NM_001141005.2	C113R145
NM_001141011.1	C116R159
NM_001141017.2	C126R166
NM_001141025.1	C094R034
NM_001141036.1	C162R020
NM_001141037.1	C148R169
NM_001141037.1	C024R063
NM_001141037.1	C171R099
NM_001141040.1	C090R049
NM_001141051.1	C101R067
NM_001141052.2	C098R014
NM_001141064.1	C027R065
NM_001141071.1	C033R055
NM_001141089.1	C042R155
NM_001141091.2	C050R078
NM_001141091.2	C084R112
NM_001141091.2	C147R101
NM_001141091.2	C144R032
NM_001141098.3	C246R093
NM_001141098.3	C064R044
NM_001141112.1	C016R141
NM_001141124.2	C032R094
NM_001141135.1	C234R044
NM_001141159.2	C053R026
NM_001141169.2	C263R152
NM_001141173.1	C209R129
NM_001141173.1	C182R163
NM_001141173.1	C042R116
NM_001141201.2	C028R083
NM_001141211.2	C123R144
NM_001141223.1	C193R036
NM_001141223.1	C204R014
NM_001141232.1	C005R080
NM_001141245.1	C113R129
NM_001141256.1	C263R128
NM_001141279.1	C156R092
NM_001141279.1	C246R156
NM_001141282.3	C145R066
NM_001141285.1	C160R027
NM_001141302.1	C173R065
NM_001141316.2	C094R132
NM_001141316.2	C241R142
NM_001141334.2	C030R133
NM_001141338.1	C134R147
NM_001141365.1	C008R040
NM_001141373.1	C172R025
NM_001141373.1	C195R042
NM_001141390.2	C034R132
NM_001141394.1	C015R136
NM_001141402.1	C158R060
NM_001141421.2	C081R015
NM_001141421.2	C137R168
NM_001141448.2	C262R045
NM_001141449.1	C126R005
NM_001141449.1	C084R109
NM_001141454.1	C219R022
NM_001141457.1	C245R027
NM_001141458.2	C181R096
NM_001141471.1	C172R113
NM_001141472.1	C170R152
