NCBI_GID	ENSEMBL_GID	Assignation	NCBI_gene_Overlap
106574667	ENSSSAG00000000063	automatic	NA
106607245	ENSSSAG00000000049	automatic	NA
106607815	ENSSSAG00000101513	automatic	NA
106606645	ENSSSAG00000000051	automatic	NA
106612287	ENSSSAG00000000052	automatic	NA
106593885	ENSSSAG00000098245	automatic	NA
100316613	ENSSSAG00000000057	automatic	NA
106565696	ENSSSAG00000083486	automatic	NA
106560777	ENSSSAG00000000055	automatic	NA
106593289	ENSSSAG00000088197	automatic	NA
106571988	ENSSSAG00000105454	automatic	NA
106610160	ENSSSAG00000110187	automatic	NA
106600683	ENSSSAG00000090551	automatic	NA
106596642	ENSSSAG00000000044	automatic	NA
106599499	ENSSSAG00000044034	automatic	NA
106578259	ENSSSAG00000063772	automatic	NA
101448046	ENSSSAG00000001017	automatic	NA
106566220	ENSSSAG00000000041	automatic	NA
106607996	ENSSSAG00000000040	automatic	NA
106560212	ENSSSAG00000062885	automatic	NA
106568467	ENSSSAG00000000059	automatic	NA
106569409	ENSSSAG00000063299	automatic	NA
106571075	ENSSSAG00000105031	automatic	NA
106594790	ENSSSAG00000115259	automatic	NA
106577206	ENSSSAG00000106653	automatic	NA
106590819	ENSSSAG00000093490	automatic	NA
106580298	ENSSSAG00000083690	automatic	NA
106582002	ENSSSAG00000094436	automatic	NA
106582574	ENSSSAG00000000069	automatic	NA
106588528	ENSSSAG00000000073	automatic	NA
106586969	ENSSSAG00000119525	automatic	NA
106588023	ENSSSAG00000101037	automatic	NA
106599215	ENSSSAG00000000091	automatic	NA
106599105	ENSSSAG00000000090	automatic	NA
106598856	ENSSSAG00000065158	automatic	NA
106598624	ENSSSAG00000094591	automatic	NA
106598189	ENSSSAG00000000085	automatic	NA
106599381	ENSSSAG00000000083	automatic	NA
106597689	ENSSSAG00000000082	automatic	NA
106593613	ENSSSAG00000000080	automatic	NA
106596643	ENSSSAG00000000079	automatic	NA
106594936	ENSSSAG00000000078	automatic	NA
106599806	ENSSSAG00000114705	automatic	NA
106590675	ENSSSAG00000000075	automatic	NA
100194980	ENSSSAG00000000096	automatic	NA
106600624	ENSSSAG00000000097	automatic	NA
106600704	ENSSSAG00000000100	automatic	NA
106600501	ENSSSAG00000059276	automatic	NA
106600942	ENSSSAG00000114975	automatic	NA
106592794	ENSSSAG00000098932	automatic	NA
106599953	ENSSSAG00000000094	automatic	NA
106602985	ENSSSAG00000057703	automatic	NA
106602928	ENSSSAG00000102205	automatic	NA
106602805	ENSSSAG00000110913	automatic	NA
100286617	ENSSSAG00000100154	automatic	NA
100286498	ENSSSAG00000057589	automatic	NA
106601599	ENSSSAG00000057156	automatic	NA
106602521	ENSSSAG00000056846	automatic	NA
106602405	ENSSSAG00000056816	automatic	NA
106602253	ENSSSAG00000099783	automatic	NA
106601952	ENSSSAG00000055072	automatic	NA
106601869	ENSSSAG00000053952	automatic	NA
106601755	ENSSSAG00000053919	automatic	NA
106601539	ENSSSAG00000053915	automatic	NA
106603106	ENSSSAG00000093779	automatic	NA
106604778	ENSSSAG00000036264	automatic	NA
106604852	ENSSSAG00000104684	automatic	NA
106603387	ENSSSAG00000116603	automatic	NA
106603467	ENSSSAG00000114690	automatic	NA
100380763	ENSSSAG00000039639	automatic	NA
106605409	ENSSSAG00000112028	automatic	NA
106605188	ENSSSAG00000070629	automatic	NA
100510784	ENSSSAG00000070765	automatic	NA
106604179	ENSSSAG00000034886	automatic	NA
106603826	ENSSSAG00000034575	automatic	NA
106604970	ENSSSAG00000115052	automatic	NA
106604359	ENSSSAG00000035097	automatic	NA
123732019	ENSSSAG00000035519	automatic	NA
106604468	ENSSSAG00000121022	automatic	NA
106604723	ENSSSAG00000109568	automatic	NA
106592590	ENSSSAG00000103497	automatic	NA
106606619	ENSSSAG00000103752	automatic	NA
106606698	ENSSSAG00000070793	automatic	NA
106606907	ENSSSAG00000084497	automatic	NA
106607016	ENSSSAG00000103367	automatic	NA
106607199	ENSSSAG00000070919	automatic	NA
106609265	ENSSSAG00000070930	automatic	NA
100306748	ENSSSAG00000070943	automatic	NA
106607246	ENSSSAG00000070995	automatic	NA
106607310	ENSSSAG00000071009	automatic	NA
106607535	ENSSSAG00000071029	automatic	NA
106607662	ENSSSAG00000104117	automatic	NA
106607832	ENSSSAG00000071099	automatic	NA
106609318	ENSSSAG00000088937	automatic	NA
106607934	ENSSSAG00000115845	automatic	NA
106608011	ENSSSAG00000096301	automatic	NA
106608070	ENSSSAG00000071867	automatic	NA
